date,SMB,HML,RMW,CMA,RF
202303,-6.93,-8.87,2.33,-2.39,0.36
202304,-2.57,-0.05,2.42,2.85,0.35
202305,-0.38,-7.74,-1.82,-7.2,0.36
202306,1.36,-0.2,2.27,-1.62,0.4
202307,2.84,4.11,-0.57,0.62,0.45
202308,-3.68,-1.08,3.42,-2.37,0.45
202309,-1.79,1.45,1.85,-0.84,0.43
202310,-4.05,0.19,2.47,-0.67,0.47
202311,-0.11,1.66,-3.81,-0.99,0.44
202312,7.33,4.92,-3.04,1.3,0.43
